Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2022-01-14,593.24,1.08,0.78,4.75,9.15,9.43,21.62,23.67,1.9130760390164037,13597.529999999999,0.29,0.39,0.13,0.19,0.0078000000000000005,0.005891304399275432,0.005897113458848511,0.005997758728696372,0.0018027756377319948
2022-01-21,592.09,0.88,0.19,4.43,8.34,8.67,20.79,24.07,1.250653611354413,13767.588,0.78,0.29,0.39,0.13,0.0019,0.005880492922450056,0.005891304399275432,0.005897113458848511,0.0025
2022-01-28,591.07,0.71,0.17,3.6,7.94,8.89,20.39,23.9,-0.18662673519863615,13741.894,0.19,0.78,0.29,0.39,0.0017000000000000001,0.005936291233358972,0.005880492922450056,0.005891304399275432,0.005156064390598705
2022-02-04,592.93,1.03,0.31,3.68,7.58,11.27,20.54,25.23,1.1721382802108549,13902.967999999999,0.17,0.19,0.78,0.29,0.0031,0.005970709626243636,0.005936291233358972,0.005880492922450056,0.012500399993600204
2022-02-18,589.58,0.46,0.66,2.78,7.46,9.1,19.09,24.93,-1.3622277277348882,13775.554,0.31,0.17,0.19,0.78,0.0066,0.005912593403547234,0.005970709626243636,0.005936291233358972,0.01347312139038315
2022-02-25,579.89,1.19,1.64,0.76,6.34,8.36,17.52,24.25,-3.0009101630322776,13362.162,0.66,0.31,0.17,0.19,0.016399999999999998,0.005853304392432065,0.005912593403547234,0.005970709626243636,0.007316078184382668
2022-03-04,574.25,2.16,0.97,0.26,5.52,10.32,16.48,22.65,-3.0790675940016277,12950.732,1.64,0.66,0.31,0.17,0.0097,0.006770261053562828,0.005853304392432065,0.005912593403547234,0.007249827584156742
2022-03-11,572.18,2.51,0.36,1.08,4.67,13.75,16.72,22.15,-2.4848942901451454,12628.92,0.97,1.64,0.66,0.31,0.0036,0.006347051210317888,0.006770261053562828,0.005853304392432065,0.007823362448461659
2022-03-18,577.7,1.57,0.96,0.51,5.85,18.84,17.57,22.54,1.2583340459833448,12787.833999999999,0.36,0.97,1.64,0.66,0.0096,0.006050028218997534,0.006347051210317888,0.006770261053562828,0.005550225220655465
2022-03-25,574.51,2.11,0.55,1.28,5.36,17.96,17.61,23.12,-0.8001824233877186,12685.508,0.96,0.36,0.97,1.64,0.0055000000000000005,0.006042157029924898,0.006050028218997534,0.006347051210317888,0.0039604292696625715
