Unnamed: 0.1,Unnamed: 0,filename,url,download_date,date
61.0,61.0,27-09-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/30-09-2024/weekly_opcvm_27_09_2024.pdf,2025-12-19 18:43:40,2024-09-27
62.0,62.0,20-09-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/23-09-2024/weekly_opcvm_20_09_2024.pdf,2025-12-19 18:43:38,2024-09-20
63.0,63.0,13-09-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/19-09-2024/weekly_opcvm_13_09_2024.pdf,2025-12-19 18:43:51,2024-09-13
64.0,64.0,06-09-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/09-09-2024/weekly_opcvm_06_09_2024.pdf,2025-12-19 18:43:52,2024-09-06
65.0,65.0,31-08-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/02-09-2024/weekly_opcvm_31_08_2024.pdf,2025-12-19 18:43:48,2024-08-31
66.0,66.0,23-08-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/26-08-2024/weekly_opcvm_23_08_2024.pdf,2025-12-19 18:43:45,2024-08-23
67.0,67.0,16-08-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/22-08-2024/weekly_opcvm_16_08_2024.pdf,2025-12-19 18:43:47,2024-08-16
68.0,68.0,09-08-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/15-08-2024/weekly_opcvm_09_08_2024.pdf,2025-12-19 18:43:50,2024-08-09
69.0,69.0,02-08-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/15-08-2024/weekly_opcvm_02_08_2024.pdf,2025-12-19 18:43:46,2024-08-02
70.0,70.0,26-07-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/15-08-2024/weekly_opcvm_26_07_2024.pdf,2025-12-19 18:44:05,2024-07-26
71.0,71.0,19-07-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/22-07-2024/weekly_opcvm_19_07_2024.pdf,2025-12-19 18:44:00,2024-07-19
72.0,72.0,12-07-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/15-07-2024/weekly_opcvm_12_07_2024.pdf,2025-12-19 18:44:07,2024-07-12
73.0,73.0,05-07-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/09-07-2024/weekly_opcvm_05_07_2024.pdf,2025-12-19 18:43:55,2024-07-05
74.0,74.0,28-06-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/01-07-2024/weekly_opcvm_28_06_2024.pdf,2025-12-19 18:44:03,2024-06-28
75.0,75.0,21-06-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/24-06-2024/weekly_opcvm_21_06_2024.pdf,2025-12-19 18:43:56,2024-06-21
76.0,76.0,14-06-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/24-06-2024/weekly_opcvm_14_06_2024.pdf,2025-12-19 18:44:06,2024-06-14
77.0,77.0,07-06-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/12-06-2024/weekly_opcvm_07_06_2024.pdf,2025-12-19 18:44:09,2024-06-07
78.0,78.0,31-05-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/06-06-2024/weekly_opcvm_31_05_2024.pdf,2025-12-19 18:43:59,2024-05-31
79.0,79.0,24-05-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/06-06-2024/weekly_opcvm_24_05_2024.pdf,2025-12-19 18:43:57,2024-05-24
80.0,80.0,17-05-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/20-05-2024/weekly_opcvm_17_05_2024.pdf,2025-12-19 18:44:24,2024-05-17
81.0,81.0,10-05-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/14-05-2024/weekly_opcvm_10_05_2024.pdf,2025-12-19 18:44:18,2024-05-10
82.0,82.0,03-05-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/06-05-2024/weekly_opcvm_03_05_2024.pdf,2025-12-19 18:44:13,2024-05-03
83.0,83.0,26-04-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/29-04-2024/weekly_opcvm_26_04_2024.pdf,2025-12-19 18:44:11,2024-04-26
84.0,84.0,22-04-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/22-04-2024/weekly_opcvm_22_04_2024.pdf,2025-12-19 18:44:14,2024-04-22
85.0,85.0,15-04-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/16-04-2024/weekly_opcvm_15_04_2024.pdf,2025-12-19 18:44:15,2024-04-15
86.0,86.0,05-04-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/09-04-2024/weekly_opcvm_05_04_2024.pdf,2025-12-19 18:44:20,2024-04-05
